日期,品項,價格,幣值,來源
2025-06-09 08:08:00,磷,329.88505439999994,USD,LME_歷史數據
2025-06-09 08:08:00,青,215.953584,USD,LME_歷史數據
2025-06-09 08:08:00,紅,289.34136,USD,LME_歷史數據
2025-06-09 17:33:00,磷,331.56252639999997,USD,LME_歷史數據
2025-06-09 17:33:00,青,216.90965100000003,USD,LME_歷史數據
2025-06-09 17:33:00,紅,290.64196000000004,USD,LME_歷史數據
2025-06-10 17:30:00,磷,334.02785750000004,USD,LME_歷史數據
2025-06-10 17:30:00,青,218.1063825,USD,LME_歷史數據
2025-06-10 17:30:00,紅,292.836125,USD,LME_歷史數據
2025-06-11 08:51:00,磷,332.6579444999999,USD,LME_歷史數據
2025-06-11 08:51:00,青,217.39207499999998,USD,LME_歷史數據
2025-06-11 08:51:00,紅,291.60817499999996,USD,LME_歷史數據
2025-06-11 17:04:00,磷,331.0626111,USD,LME_歷史數據
2025-06-11 17:04:00,青,216.434568375,USD,LME_歷史數據
2025-06-11 17:04:00,紅,289.89181499999995,USD,LME_歷史數據
2025-06-12 08:00:00,磷,329.49611310000006,USD,LME_歷史數據
2025-06-12 08:00:00,青,215.19616799999997,USD,LME_歷史數據
2025-06-12 08:00:00,紅,288.397065,USD,LME_歷史數據
2025-06-13 08:00:00,磷,328.1465148,USD,LME_歷史數據
2025-06-13 08:00:00,青,214.131216,USD,LME_歷史數據
2025-06-13 08:00:00,紅,287.22642,USD,LME_歷史數據
2025-06-16 17:01:00,磷,326.25819999999993,USD,LME_歷史數據
2025-06-16 17:01:00,青,212.773175,USD,LME_歷史數據
2025-06-16 17:01:00,紅,285.265,USD,LME_歷史數據
2025-06-17 08:00:00,磷,326.45585,USD,LME_歷史數據
2025-06-17 08:00:00,青,213.366125,USD,LME_歷史數據
2025-06-17 08:00:00,紅,286.0025,USD,LME_歷史數據
2025-06-18 17:27:00,磷,326.72748824999996,USD,LME_歷史數據
2025-06-18 17:27:00,青,213.30483875,USD,LME_歷史數據
2025-06-18 17:27:00,紅,286.23011249999996,USD,LME_歷史數據
2025-06-19 08:11:00,磷,325.07231674999997,USD,LME_歷史數據
2025-06-19 08:11:00,青,212.52242624999997,USD,LME_歷史數據
2025-06-19 08:11:00,紅,284.93101249999995,USD,LME_歷史數據
2025-06-19 12:17:00,磷,325.9379926,USD,LME_歷史數據
2025-06-19 12:17:00,青,212.72768825000003,USD,LME_歷史數據
2025-06-19 12:17:00,紅,285.42514,USD,LME_歷史數據
2025-06-19 17:01:00,磷,324.6725212,USD,LME_歷史數據
2025-06-19 17:01:00,青,212.0932695,USD,LME_歷史數據
2025-06-19 17:01:00,紅,284.47048,USD,LME_歷史數據
2025-06-23 07:58:00,磷,324.62039000000004,USD,LME_歷史數據
2025-06-23 07:58:00,青,212.57755650000001,USD,LME_歷史數據
2025-06-23 07:58:00,紅,284.9444,USD,LME_歷史數據
2025-06-23 08:00:00,磷,325.96781039999996,USD,LME_歷史數據
2025-06-23 08:00:00,青,212.73514199999997,USD,LME_歷史數據
2025-06-23 08:00:00,紅,285.17796000000004,USD,LME_歷史數據
2025-06-23 08:00:00,磷,325.96781039999996,USD,LME_歷史數據
2025-06-23 08:00:00,青,212.73514199999997,USD,LME_歷史數據
2025-06-23 08:00:00,紅,285.17796000000004,USD,LME_歷史數據
2025-06-23 08:00:00,磷,325.96781039999996,USD,LME_歷史數據
2025-06-23 08:00:00,青,212.73514199999997,USD,LME_歷史數據
2025-06-23 08:00:00,紅,285.17796000000004,USD,LME_歷史數據
2025-06-23 17:01:00,磷,327.3008403,USD,LME_歷史數據
2025-06-23 17:01:00,青,213.690321,USD,LME_歷史數據
2025-06-23 17:01:00,紅,286.195845,USD,LME_歷史數據
2025-06-23 17:01:00,磷,327.3008403,USD,LME_歷史數據
2025-06-23 17:01:00,青,213.690321,USD,LME_歷史數據
2025-06-23 17:01:00,紅,286.195845,USD,LME_歷史數據
2025-06-24 08:04:00,磷,327.7262766,USD,LME_歷史數據
2025-06-24 08:04:00,青,214.11843299999998,USD,LME_歷史數據
2025-06-24 08:04:00,紅,286.68639,USD,LME_歷史數據
2025-06-24 08:04:00,磷,327.7262766,USD,LME_歷史數據
2025-06-24 08:04:00,青,214.11843299999998,USD,LME_歷史數據
2025-06-24 08:04:00,紅,286.68639,USD,LME_歷史數據
2025-06-24 08:04:00,磷,327.7262766,USD,LME_歷史數據
2025-06-24 08:04:00,青,214.11843299999998,USD,LME_歷史數據
2025-06-24 08:04:00,紅,286.68639,USD,LME_歷史數據
2025-06-24 08:04:00,磷,327.7262766,USD,LME_歷史數據
2025-06-24 08:04:00,青,214.11843299999998,USD,LME_歷史數據
2025-06-24 08:04:00,紅,286.68639,USD,LME_歷史數據
2025-06-24 17:09:00,磷,327.87512499999997,USD,LME_歷史數據
2025-06-24 17:09:00,青,214.64453562499997,USD,LME_歷史數據
2025-06-24 17:09:00,紅,287.13062499999995,USD,LME_歷史數據
2025-06-25 08:29:00,磷,326.18452349999995,USD,LME_歷史數據
2025-06-25 08:29:00,青,213.577945,USD,LME_歷史數據
2025-06-25 08:29:00,紅,285.83152499999994,USD,LME_歷史數據
2025-06-25 16:19:00,磷,325.30638749999997,USD,LME_歷史數據
2025-06-25 16:19:00,青,212.92909375000002,USD,LME_歷史數據
2025-06-25 16:19:00,紅,284.908125,USD,LME_歷史數據
2025-06-25 17:02:00,磷,325.01498749999996,USD,LME_歷史數據
2025-06-25 17:02:00,青,212.75064062500002,USD,LME_歷史數據
2025-06-25 17:02:00,紅,284.673125,USD,LME_歷史數據
2025-06-26 10:16:00,磷,325.0127234,USD,LME_歷史數據
2025-06-26 10:16:00,青,212.44583925,USD,LME_歷史數據
2025-06-26 10:16:00,紅,284.20331000000004,USD,LME_歷史數據
2025-06-26 17:02:00,磷,327.73699719999996,USD,LME_歷史數據
2025-06-26 17:02:00,青,214.213968,USD,LME_歷史數據
2025-06-26 17:02:00,紅,286.50448,USD,LME_歷史數據
2025-06-27 10:05:00,磷,328.05204239999995,USD,LME_歷史數據
2025-06-27 10:05:00,青,214.49993999999998,USD,LME_歷史數據
2025-06-27 10:05:00,紅,286.79285999999996,USD,LME_歷史數據
2025-06-27 17:19:00,磷,328.80571675,USD,LME_歷史數據
2025-06-27 17:19:00,青,214.85339925000002,USD,LME_歷史數據
2025-06-27 17:19:00,紅,287.3954125,USD,LME_歷史數據
2025-06-30 15:23:00,磷,331.07828,USD,LME_歷史數據
2025-06-30 15:23:00,青,216.26989250000003,USD,LME_歷史數據
2025-06-30 15:23:00,紅,289.0445,USD,LME_歷史數據
2025-06-30 17:03:00,磷,330.28048379999996,USD,LME_歷史數據
2025-06-30 17:03:00,青,215.74135299999998,USD,LME_歷史數據
2025-06-30 17:03:00,紅,288.30147,USD,LME_歷史數據
2025-06-30 17:04:00,磷,330.28048379999996,USD,LME_歷史數據
2025-06-30 17:04:00,青,215.74135299999998,USD,LME_歷史數據
2025-06-30 17:04:00,紅,288.30147,USD,LME_歷史數據
2025-07-01 08:31:00,磷,331.48576729999996,USD,LME_歷史數據
2025-07-01 08:31:00,青,216.34545925,USD,LME_歷史數據
2025-07-01 08:31:00,紅,289.546295,USD,LME_歷史數據
2025-07-02 12:00:00,磷,330.59984249999997,USD,LME_歷史數據
2025-07-02 12:00:00,青,215.86720825,USD,LME_歷史數據
2025-07-02 12:00:00,紅,289.4874,USD,LME_歷史數據
2025-07-02 15:51:00,磷,328.8599709,USD,LME_歷史數據
2025-07-02 15:51:00,青,214.801644,USD,LME_歷史數據
2025-07-02 15:51:00,紅,288.170835,USD,LME_歷史數據
2025-07-02 17:28:00,磷,329.24019,USD,LME_歷史數據
2025-07-02 17:28:00,青,215.15027500000002,USD,LME_歷史數據
2025-07-02 17:28:00,紅,288.4485,USD,LME_歷史數據
2025-07-02 17:30:00,磷,329.25381999999996,USD,LME_歷史數據
2025-07-02 17:30:00,青,215.14955,USD,LME_歷史數據
2025-07-02 17:30:00,紅,288.46299999999997,USD,LME_歷史數據
2025-07-02 17:39:00,磷,329.1993,USD,LME_歷史數據
2025-07-02 17:39:00,青,215.14229999999998,USD,LME_歷史數據
2025-07-02 17:39:00,紅,288.40500000000003,USD,LME_歷史數據
2025-07-03 12:23:00,磷,329.11309035,USD,LME_歷史數據
2025-07-03 12:23:00,青,215.07770999999997,USD,LME_歷史數據
2025-07-03 12:23:00,紅,288.1712025,USD,LME_歷史數據
2025-07-03 17:24:00,磷,329.0603844,USD,LME_歷史數據
2025-07-03 17:24:00,青,215.091728625,USD,LME_歷史數據
2025-07-03 17:24:00,紅,288.26525999999996,USD,LME_歷史數據
2025-07-04 08:32:00,磷,328.0171193,USD,LME_歷史數據
2025-07-04 08:32:00,青,214.03165075,USD,LME_歷史數據
2025-07-04 08:32:00,紅,286.789145,USD,LME_歷史數據
2025-07-08 09:42:00,磷,325.84572345,USD,LME_歷史數據
2025-07-08 09:42:00,青,212.38478625,USD,LME_歷史數據
2025-07-08 09:42:00,紅,284.8406925,USD,LME_歷史數據
2025-07-08 17:03:00,磷,326.02617409999993,USD,LME_歷史數據
2025-07-08 17:03:00,青,212.53054625,USD,LME_歷史數據
2025-07-08 17:03:00,紅,285.01138999999995,USD,LME_歷史數據
2025-07-08 17:05:00,磷,326.02617409999993,USD,LME_歷史數據
2025-07-08 17:05:00,青,212.53054625,USD,LME_歷史數據
2025-07-08 17:05:00,紅,285.01138999999995,USD,LME_歷史數據
2025-07-09 09:01:00,磷,320.93485804999995,USD,LME_歷史數據
2025-07-09 09:01:00,青,209.29270524999995,USD,LME_歷史數據
2025-07-09 09:01:00,紅,279.4745075,USD,LME_歷史數據
2025-07-09 09:43:00,磷,325.4362298,USD,LME_歷史數據
2025-07-09 09:43:00,青,212.3380915,USD,LME_歷史數據
2025-07-09 09:43:00,紅,284.00567,USD,LME_歷史數據
2025-07-09 17:00:00,磷,321.562978,USD,LME_歷史數據
2025-07-09 17:00:00,青,210.19481999999996,USD,LME_歷史數據
2025-07-09 17:00:00,紅,280.51045,USD,LME_歷史數據
2025-07-10 17:02:00,磷,324.6383033999999,USD,LME_歷史數據
2025-07-10 17:02:00,青,212.07507525000003,USD,LME_歷史數據
2025-07-10 17:02:00,紅,282.58551,USD,LME_歷史數據
