日期,磷,青,紅,錫,鋅,中間匯率,LME
2025-05-06 10:39:00,295.42772635,212.61733512499998,284.18505250000004,952.7434999999999,79.70586,30.055,
2025-05-06 17:19:00,296.22443785,212.974805,284.8995775,960.91375,79.4002275,30.265,
2025-05-07 08:49:00,299.895885,215.6169395,288.7281,959.551825,79.83906999999999,30.265,
2025-05-07 17:00:00,298.023467,214.14340062499997,286.7648,965.1669999999999,79.2750875,30.275,
2025-05-08 08:13:00,298.023467,214.14340062499997,286.7648,965.1669999999999,79.2750875,30.275,
2025-05-08 17:09:00,295.1037435,212.1851325,283.856925,962.2832999999999,79.08037499999999,30.27,
2025-05-09 10:37:00,295.44014999999996,212.60904,284.21400000000006,958.389,79.6284,30.3,
2025-05-09 17:00:00,296.82071559999997,213.616104,285.590965,963.3810000000001,79.948505,30.295,
2025-05-12 08:31:00,297.60777970000004,214.02735862500003,285.95450500000004,963.0780500000001,80.4483725,30.295,
2025-05-12 08:32:00,297.60777970000004,214.02735862500003,285.95450500000004,963.0780500000001,80.4483725,30.295,
2025-05-16 14:29:00,296.8037504,213.61989087499998,285.62126000000006,963.3810000000001,79.9030625,30.295,
2025-05-16 17:18:00,299.02478445,215.66781962500002,287.8843425,989.2777500000001,81.55142000000001,30.115000000000002,
2025-05-19 08:23:00,295.964683,213.485937,284.8048,984.7488000000001,81.03662,30.17,
2025-05-19 17:01:00,328.78484339999994,214.5171765,286.39311,992.9219999999999,81.0333,30.18,
2025-05-20 10:49:00,329.00375825000003,214.54198687500002,286.6172375,993.0592499999999,80.68795,30.175,
2025-05-21 16:18:00,331.6842984,216.735038,289.03836,999.804,82.45744,30.16,
2025-05-22 08:04:00,330.22650035,215.72736225,287.8445525,994.21035,81.7954375,30.155,
2025-05-23 08:15:00,327.1507239,214.2415275,285.870585,973.8729000000001,81.216135,30.03,
2025-05-27 17:15:00,329.08566815,215.27235912499998,287.63669749999997,978.452875,80.881445,29.945,
2025-05-28 08:14:00,328.1776612,215.0635115,287.20828,970.0312999999999,81.08037,29.93,
2025-05-29 10:11:00,327.279668,215.190444,287.5082,950.366,80.88604,29.98,
2025-05-29 14:19:00,327.2081097,215.25135937500002,287.465805,949.8375500000001,81.13881750000002,29.935000000000002,
2025-05-29 17:00:00,327.106,215.398105,287.638,945.438,81.2383,29.9,
2025-05-29 17:00:00,327.106,215.398105,287.638,945.438,81.2383,29.9,
2025-06-02 08:45:00,322.49033699999995,212.8752925,284.93205,910.9035,79.0556,29.9,
2025-06-02 17:03:00,325.16187199999996,214.71433199999998,287.4662,915.7274000000001,79.60372000000001,29.96,
2025-06-03 17:00:00,324.332853,214.48023275000003,286.55445000000003,916.1945000000001,80.62811500000001,29.99,
2025-06-04 08:47:00,327.7865014000001,216.13793,288.77371,938.9869,81.24291000000001,29.99,
2025-06-04 17:08:00,329.66365139999994,216.572487,289.26531,962.5709999999999,81.57153,29.94,
2025-06-06 10:31:00,332.22659159999995,217.62177825,291.45833999999996,970.9291999999999,80.49673499999999,29.93,
2025-06-06 17:00:00,330.5376096,216.36348800000002,289.83504,968.2112000000001,79.91632,29.92,
2025-06-09 08:08:00,329.88505439999994,215.953584,289.34136,965.0696000000002,79.662,29.92,
2025-06-09 17:33:00,331.56252639999997,216.90965100000003,290.64196000000004,972.6514000000001,79.97822000000001,29.96,
2025-06-10 17:30:00,334.02785750000004,218.1063825,292.836125,979.365,79.322575,29.95,
2025-06-11 08:51:00,332.6579444999999,217.39207499999998,291.60817499999996,975.771,79.562175,29.95,
2025-06-11 17:04:00,331.0626111,216.434568375,289.89181499999995,976.07175,80.01396749999999,29.9,
2025-06-12 08:00:00,329.49611310000006,215.19616799999997,288.397065,973.3812,79.251645,29.9,
2025-06-13 08:00:00,328.1465148,214.131216,287.22642,969.2280000000001,78.38298,29.64,
2025-06-16 17:01:00,326.25819999999993,212.773175,285.265,968.4849999999999,78.1455,29.5,
2025-06-17 08:00:00,326.45585,213.366125,286.0025,960.2249999999999,78.47,29.5,
2025-06-18 17:27:00,326.72748824999996,213.30483875,286.23011249999996,961.186375,77.8721875,29.53,
2025-06-19 08:11:00,325.07231674999997,212.52242624999997,284.93101249999995,953.95275,78.0493375,29.53,
2025-06-19 12:17:00,325.9379926,212.72768825000003,285.42514,960.6393500000001,77.718135,29.59,9646
2025-06-19 17:01:00,324.6725212,212.0932695,284.47048,954.5045000000001,77.67845,29.62,9604
2025-06-23 07:58:00,324.62039000000004,212.57755650000001,284.9444,946.2109,78.18199,29.62,9620
2025-06-23 08:00:00,325.96781039999996,212.73514199999997,285.17796000000004,965.0088,78.19848,29.52,9660.5
2025-06-23 08:00:00,325.96781039999996,212.73514199999997,285.17796000000004,965.0088,78.19848,29.52,9660.5
2025-06-23 08:00:00,325.96781039999996,212.73514199999997,285.17796000000004,965.0088,78.19848,29.52,9660.5
2025-06-23 17:01:00,327.3008403,213.690321,286.195845,971.2791000000001,79.037205,29.73,9626.5
2025-06-23 17:01:00,327.3008403,213.690321,286.195845,971.2791000000001,79.037205,29.73,9626.5
2025-06-24 08:04:00,327.7262766,214.11843299999998,286.68639,970.6845,79.34937000000001,29.73,9643
2025-06-24 08:04:00,327.7262766,214.11843299999998,286.68639,970.6845,79.34937000000001,29.73,9643
2025-06-24 08:04:00,327.7262766,214.11843299999998,286.68639,970.6845,79.34937000000001,29.73,9643
2025-06-24 08:04:00,327.7262766,214.11843299999998,286.68639,970.6845,79.34937000000001,29.73,9643
2025-06-24 17:09:00,327.87512499999997,214.64453562499997,287.13062499999995,966.2056249999999,80.0275125,29.53,9725
2025-06-25 08:29:00,326.18452349999995,213.577945,285.83152499999994,958.3815,79.392725,29.53,9681
2025-06-25 16:19:00,325.30638749999997,212.92909375000002,284.908125,958.2125,79.25375,29.38,9699
2025-06-25 17:02:00,325.01498749999996,212.75064062500002,284.673125,957.0374999999999,79.1803125,29.38,9691
2025-06-26 10:16:00,325.0127234,212.44583925,284.20331000000004,964.3602000000001,79.181965,29.17,9743
2025-06-26 17:02:00,327.73699719999996,214.213968,286.50448,973.7130999999999,79.96016,29.14,9832
2025-06-27 10:05:00,328.05204239999995,214.49993999999998,286.79285999999996,974.4459,80.24166,29.01,9886
2025-06-27 17:19:00,328.80571675,214.85339925000002,287.3954125,977.5671500000001,80.1325175,29.16,9857.5
2025-06-30 15:23:00,331.07828,216.26989250000003,289.0445,989.6075,81.11705,29.3,9865
2025-06-30 17:03:00,330.28048379999996,215.74135299999998,288.30147,987.9516999999998,80.98685,29.29,9843
2025-06-30 17:04:00,330.28048379999996,215.74135299999998,288.30147,987.9516999999998,80.98685,29.29,9843
2025-07-01 08:31:00,331.48576729999996,216.34545925,289.546295,988.5375,80.40105,29.29,9885.5
2025-07-02 12:00:00,330.59984249999997,215.86720825,289.4874,974.6947749999998,79.14399499999999,29.064999999999998,9960
2025-07-02 15:51:00,328.8599709,214.801644,288.170835,966.3231,78.544575,29.009999999999998,9933.5
2025-07-02 17:28:00,329.24019,215.15027500000002,288.4485,968.3100000000001,79.025,29,9946.5
2025-07-02 17:30:00,329.25381999999996,215.14955,288.46299999999997,968.3100000000001,78.99600000000001,29,9947
2025-07-02 17:39:00,329.1993,215.14229999999998,288.40500000000003,968.3100000000001,79.083,29,9945
2025-07-03 12:23:00,329.11309035,215.07770999999997,288.1712025,970.536,79.3326525,28.884999999999998,9976.5
2025-07-03 17:24:00,329.0603844,215.091728625,288.26525999999996,968.184,79.1980275,28.814999999999998,10004
2025-07-04 08:32:00,328.0171193,214.03165075,286.789145,973.92205,78.91059,28.810000000000002,9954.5
2025-07-08 09:42:00,325.84572345,212.38478625,284.8406925,968.2578750000001,77.8238175,29.055,9803.5
2025-07-08 17:03:00,326.02617409999993,212.53054625,285.01138999999995,968.591125,77.923265,29.064999999999998,9806
2025-07-08 17:05:00,326.02617409999993,212.53054625,285.01138999999995,968.591125,77.923265,29.064999999999998,9806
2025-07-09 09:01:00,320.93485804999995,209.29270524999995,279.4745075,970.4803499999999,78.95507249999999,29.064999999999998,9615.5
2025-07-09 09:43:00,325.4362298,212.3380915,284.00567,974.515,79.24116000000001,29.09,9763
2025-07-09 17:00:00,321.562978,210.19481999999996,280.51045,964.7192499999999,79.60865,29.15,9623
2025-07-10 17:02:00,324.6383033999999,212.07507525000003,282.58551,983.4654,81.12712499999999,29.235,9666
2025-07-11 09:23:00,324.689757,212.351346,282.9948,977.91075,81.15635999999999,29.235,9680
2025-07-16 08:22:00,323.0645059,210.54011475000001,281.458135,974.89765,78.83522,29.285,9611
2025-07-16 09:08:00,323.79633805,211.154367625,282.2927575,974.0191,79.04021499999999,29.285,9639.5
2025-07-17 09:00:00,324.4921608,211.90786612499997,283.20762,971.2833,79.4940375,29.415,9628
2025-07-17 17:13:00,323.583525,211.5770105,282.77715,962.8834,79.34818,29.41,9615
2025-07-21 12:14:00,330.8296225499999,217.01945775,288.8700075,988.196925,83.58272249999999,29.42,9820.5
2025-07-21 17:29:00,332.39214735,218.233561875,290.42900249999997,989.8147499999999,84.156315,29.42,9873.5
2025-07-29 09:56:00,330.8530752,216.581598,288.52847999999994,993.9384,82.96596000000001,29.52,9774
2025-07-30 09:00:00,333.674748,218.5303725,291.23819999999995,998.5139999999999,83.50155,29.7,9806
2025-07-30 17:16:00,333.2363339499999,218.070346,290.61886749999996,1000.9099749999999,83.33737749999999,29.71,9783.5
2025-07-31 09:18:00,333.06612429999996,218.15352,290.93077,993.186675,82.99577,29.71,9794
2025-08-01 09:32:00,330.80191829999995,216.94241699999998,289.13449499999996,983.5915500000001,82.871415,30.02,9633
2025-08-01 17:06:00,331.5654964,217.29001349999996,289.78306000000003,986.157,82.66006999999999,30.02,9653
2025-08-01 18:04:00,330.90727095,216.279835875,288.72929250000004,991.6956,81.730845,30.02,9619.5
2025-08-04 10:11:00,330.5500823,215.93695075000002,288.35004499999997,991.6840000000001,81.45549,29.87,9653.5
2025-08-04 17:12:00,333.83178465,218.02159518749997,291.18336,1001.9904375,82.14974624999999,29.93,9728
2025-08-05 09:00:00,332.3080368,217.54890450000002,290.310345,990.271875,82.42051500000001,29.9,9711
2025-08-05 17:15:00,331.4214464,216.98358000000002,289.26655999999997,991.8480000000001,82.74376,29.92,9668
2025-08-06 17:32:00,332.9141091999999,217.67953350000002,290.08648,1003.8803,83.20949,29.98,9676
